"Back in stock","Back in stock"
"You asked to be told when these came back.","You asked to be told when these came back."
"Close","Close"
"reviews","reviews"
"Add to Cart","Add to Cart"
"Choose options","Choose options"
"Not now","Not now"
"All my product alerts","All my product alerts"
"Add everything to cart","Add everything to cart"
"Decrease quantity","Decrease quantity"
"Increase quantity","Increase quantity"
"Quantity","Quantity"
"Only %1 left","Only %1 left"
"-%1%","-%1%"
"New","New"
"My Product Alerts","My Product Alerts"
"Back in stock now","Back in stock now"
"These came back and are waiting for you.","These came back and are waiting for you."
"Waiting for stock","Waiting for stock"
"We'll email you the moment these are available again.","We'll email you the moment these are available again."
"Already seen","Already seen"
"These came back and you have already been told.","These came back and you have already been told."
"You have no product alerts yet.","You have no product alerts yet."
"Open any out-of-stock product and choose ""Notify me when this product is in stock"".","Open any out-of-stock product and choose ""Notify me when this product is in stock""."
"Subscribed:","Subscribed:"
"Back in stock:","Back in stock:"
"Stop watching","Stop watching"
"Stop watching everything","Stop watching everything"
"Invalid form key. Please refresh the page.","Invalid form key. Please refresh the page."
"Your cart could not be updated. Please try again.","Your cart could not be updated. Please try again."
"That does not look like a device token.","That does not look like a device token."
"No Firebase service account is configured.","No Firebase service account is configured."
"The Firebase service account is not valid JSON.","The Firebase service account is not valid JSON."
"The Firebase service account is missing ""%1"".","The Firebase service account is missing ""%1""."
"The Firebase service account private key could not be used to sign a request.","The Firebase service account private key could not be used to sign a request."
"Could not reach the Google token endpoint: %1","Could not reach the Google token endpoint: %1"
"Google refused the service account assertion (HTTP %1): %2","Google refused the service account assertion (HTTP %1): %2"
"The Google token response carried no access token.","The Google token response carried no access token."
"The Google token response was not JSON.","The Google token response was not JSON."
"No Firebase project id is configured.","No Firebase project id is configured."
"Restock Popup","Restock Popup"
"Products in the popup","Products in the popup"
"Low stock badge below","Low stock badge below"
"Push Notifications","Push Notifications"
"Notification title","Notification title"
"Firebase project ID","Firebase project ID"
"Firebase service account JSON","Firebase service account JSON"
"Back In Stock","Back In Stock"
"Back In Stock Section","Back In Stock Section"
