"CMS Blocks","CMS Blocks"
"CMS Pages","CMS Pages"
"Widget Instances","Widget Instances"
"Content Transfer","Content Transfer"
"Export Content Bundles","Export Content Bundles"
"Store view","Store view"
"All store views","All store views"
"Apply filter","Apply filter"
"Bundle format","Bundle format"
"Bundle key","Bundle key"
"Name","Name"
"Store views","Store views"
"Single JSON document","Single JSON document"
"Zip archive, one file per entry","Zip archive, one file per entry"
"Export selected","Export selected"
"Nothing to transfer in the selected scope.","Nothing to transfer in the selected scope."
"Select at least one entry to export.","Select at least one entry to export."
"Nothing was selected to export.","Nothing was selected to export."
"The selection could not be read.","The selection could not be read."
"The bundle could not be built.","The bundle could not be built."
"Would be created.","Would be created."
"Exists here and would be overwritten.","Exists here and would be overwritten."
"Exists here; run with --replace to overwrite it.","Exists here; run with --replace to overwrite it."
"No porter is registered for ""%1""; the module that captured it is not installed here.","No porter is registered for ""%1""; the module that captured it is not installed here."
"Block ""%1"" is already here.","Block ""%1"" is already here."
"Block ""%1"" was created.","Block ""%1"" was created."
"Block ""%1"" was overwritten.","Block ""%1"" was overwritten."
"Page ""%1"" is already here.","Page ""%1"" is already here."
"Page ""%1"" was created.","Page ""%1"" was created."
"Page ""%1"" was overwritten.","Page ""%1"" was overwritten."
"Widget ""%1"" is already here.","Widget ""%1"" is already here."
"Widget ""%1"" was created.","Widget ""%1"" was created."
"Widget ""%1"" was overwritten.","Widget ""%1"" was overwritten."
"The entry has no block identifier.","The entry has no block identifier."
"The entry has no page identifier.","The entry has no page identifier."
"A widget instance entry needs both a title and an instance type.","A widget instance entry needs both a title and an instance type."
"--identifier expects ""porter:key"", got ""%1"".","--identifier expects ""porter:key"", got ""%1""."
"Content bundle %1 could not be applied: %2","Content bundle %1 could not be applied: %2"
