"Coupon Ticket","Coupon Ticket"
"Coupon Ticket — single line","Coupon Ticket — single line"
"Shows a cart price rule's coupon as a tear-off ticket, with a copy-to-clipboard button.","Shows a cart price rule's coupon as a tear-off ticket, with a copy-to-clipboard button."
"Cart Price Rule","Cart Price Rule"
"Only active rules with a specific coupon code are listed.","Only active rules with a specific coupon code are listed."
"Headline","Headline"
"Optional line above the discount, e.g. ""Spring sale"".","Optional line above the discount, e.g. ""Spring sale""."
"Small print","Small print"
"Optional line under the ticket, e.g. ""One use per customer"".","Optional line under the ticket, e.g. ""One use per customer""."
"Template","Template"
"-- Please select --","-- Please select --"
"Copy code","Copy code"
"Copy","Copy"
"Copied","Copied"
"Copying is not available here — select the code and copy it.","Copying is not available here — select the code and copy it."
"Select the code to copy it.","Select the code to copy it."
"This offer applies to a different customer group.","This offer applies to a different customer group."
"Valid until %1","Valid until %1"
"Valid from %1","Valid from %1"
"%1% off","%1% off"
"Pay %1% of the price","Pay %1% of the price"
"%1 off","%1 off"
"Pay %1","Pay %1"
"Buy %1, get %2 free","Buy %1, get %2 free"
"Coupon Tickets","Coupon Tickets"
"Coupon ticket ""%1"" is already here.","Coupon ticket ""%1"" is already here."
"Coupon ticket ""%1"" has no rule: pick one in the admin.","Coupon ticket ""%1"" has no rule: pick one in the admin."
"Coupon ticket ""%1"" is linked to rule ""%2"".","Coupon ticket ""%1"" is linked to rule ""%2""."
"A coupon ticket entry needs a title.","A coupon ticket entry needs a title."
"No cart price rule named ""%1"" exists here; create it first.","No cart price rule named ""%1"" exists here; create it first."
