"Curated Categories","Curated Categories"
"Curated Categories Section","Curated Categories Section"
"Engine","Engine"
"Let an empty source clear its category","Let an empty source clear its category"
"Log every reconcile","Log every reconcile"
"Bestsellers","Bestsellers"
"New Arrivals","New Arrivals"
"Coming Soon","Coming Soon"
"Coming Soon — storefront message","Coming Soon — storefront message"
"Enabled","Enabled"
"Category","Category"
"Products","Products"
"Sales window (days)","Sales window (days)"
"Arrival window (days)","Arrival window (days)"
"Minimum products kept","Minimum products kept"
"Exclude when","Exclude when"
"Exclusion rules","Exclusion rules"
"Product page notice","Product page notice"
"Attribute code","Attribute code"
"Operator","Operator"
"Value","Value"
"Add rule","Add rule"
"-- Not configured --","-- Not configured --"
"Any rule matches — exclude","Any rule matches — exclude"
"All rules match — exclude","All rules match — exclude"
"is","is"
"is not","is not"
"greater than","greater than"
"less than","less than"
"is one of (comma separated)","is one of (comma separated)"
"is none of (comma separated)","is none of (comma separated)"
"contains","contains"
"Expected Restock Date","Expected Restock Date"
"today","today"
"in 1 day","in 1 day"
"in %1 days","in %1 days"
