"Order Attribution Sources","Order Attribution Sources"
"Add New Source","Add New Source"
"New Order Source","New Order Source"
"Edit Order Source","Edit Order Source"
"Order Source","Order Source"
"Order Source Detail","Order Source Detail"
"Source","Source"
"Code","Code"
"Label","Label"
"Accepting New Orders","Accepting New Orders"
"Sort Order","Sort Order"
"The order source has been saved.","The order source has been saved."
"The order source has been deleted.","The order source has been deleted."
"This order source no longer exists.","This order source no longer exists."
"No order source was specified.","No order source was specified."
"A label is required.","A label is required."
"The code must be 2–32 characters of lowercase letters, digits, ""-"" or ""_"".","The code must be 2–32 characters of lowercase letters, digits, ""-"" or ""_""."
"Order source ""%1"" is not available.","Order source ""%1"" is not available."
"Delete %1","Delete %1"
