"Headless Suite: Social Login","Headless Suite: Social Login"
"Google","Google"
"Apple","Apple"
"OAuth client ID","OAuth client ID"
"Services ID (or bundle ID)","Services ID (or bundle ID)"
"Social Login Signing Keys","Social Login Signing Keys"
"This sign-in method is not available.","This sign-in method is not available."
"The sign-in token could not be verified.","The sign-in token could not be verified."
"A verified email address is required to sign in this way.","A verified email address is required to sign in this way."
"A provider and an ID token are required.","A provider and an ID token are required."
"An account with this email address already exists.","An account with this email address already exists."
"This account could not be created. Please contact support.","This account could not be created. Please contact support."
"This account could not be opened. Please contact support.","This account could not be opened. Please contact support."
"Sign-in is temporarily unavailable. Please try again.","Sign-in is temporarily unavailable. Please try again."
