"Headless Suite: Wish List Sharing","Headless Suite: Wish List Sharing"
"Email","Email"
"Email template","Email template"
"Email sender","Email sender"
"Wish List Sharing (headless)","Wish List Sharing (headless)"
"The wish list could not be found.","The wish list could not be found."
"The wish list could not be shared.","The wish list could not be shared."
"At least one email address is required.","At least one email address is required."
"A maximum of %1 email addresses can be used.","A maximum of %1 email addresses can be used."
"The message cannot be longer than %1 characters.","The message cannot be longer than %1 characters."
"The store could not be determined for this request.","The store could not be determined for this request."
