"New","New"
"-%1%","-%1%"
"Low stock","Low stock"
"In stock","In stock"
"Out of stock","Out of stock"
"Only %1 left","Only %1 left"
"Quantity","Quantity"
"Increase quantity","Increase quantity"
"Decrease quantity","Decrease quantity"
"Search results","Search results"
"Product list","Product list"
"Product Card Grid (scr1be)","Product Card Grid (scr1be)"
"A grid of product cards rendered from the same ViewModel layer as the category listing — server-rendered or Alpine-hydrated.","A grid of product cards rendered from the same ViewModel layer as the category listing — server-rendered or Alpine-hydrated."
"This product list is rendered in the browser. Switch the widget to server rendering to make it visible without JavaScript.","This product list is rendered in the browser. Switch the widget to server rendering to make it visible without JavaScript."
