"Product Sliders","Product Sliders"
"New Slider","New Slider"
"Edit Slider ""%1""","Edit Slider ""%1"""
"Add New Slider","Add New Slider"
"Save Slider","Save Slider"
"Delete Slider","Delete Slider"
"The slider has been saved.","The slider has been saved."
"The slider has been deleted.","The slider has been deleted."
"The slider could not be saved.","The slider could not be saved."
"The slider could not be deleted.","The slider could not be deleted."
"This slider no longer exists.","This slider no longer exists."
"No slider with id ""%1"" exists.","No slider with id ""%1"" exists."
"No slider named ""%1"" exists here.","No slider named ""%1"" exists here."
"Unknown product source ""%1"".","Unknown product source ""%1""."
"Enter a title for the slider.","Enter a title for the slider."
"The identifier ""%1"" is not valid. Use 2 to 64 lower-case letters, digits, dashes or underscores, starting with a letter or digit.","The identifier ""%1"" is not valid. Use 2 to 64 lower-case letters, digits, dashes or underscores, starting with a letter or digit."
"Assign the slider to at least one store view.","Assign the slider to at least one store view."
"Number of products must be between %1 and %2.","Number of products must be between %1 and %2."
"The slider shows more products at once than it holds. Raise the number of products.","The slider shows more products at once than it holds. Raise the number of products."
"Autoplay delay must be between %1 and %2 milliseconds.","Autoplay delay must be between %1 and %2 milliseconds."
"Choose a category for the Category source.","Choose a category for the Category source."
"Choose an attribute set for the Attribute Set source.","Choose an attribute set for the Attribute Set source."
"Enter at least one SKU for the Manual SKU List source.","Enter at least one SKU for the Manual SKU List source."
"A manual SKU list holds at most %1 entries.","A manual SKU list holds at most %1 entries."
"These SKUs do not exist: %1","These SKUs do not exist: %1"
"New Products","New Products"
"Bestsellers","Bestsellers"
"Deals","Deals"
"Most Viewed","Most Viewed"
"Recently Bought","Recently Bought"
"Category","Category"
"Attribute Set","Attribute Set"
"Manual SKU List","Manual SKU List"
"Featured","Featured"
"%1 — disabled","%1 — disabled"
"Delete ""%1""","Delete ""%1"""
"Are you sure you want to delete ""%1""? Any page or widget pointing at its identifier will render nothing.","Are you sure you want to delete ""%1""? Any page or widget pointing at its identifier will render nothing."
"Are you sure you want to delete this slider? Any page or widget pointing at its identifier will render nothing.","Are you sure you want to delete this slider? Any page or widget pointing at its identifier will render nothing."
"A total of %1 record(s) have been deleted.","A total of %1 record(s) have been deleted."
"A total of %1 record(s) have been updated.","A total of %1 record(s) have been updated."
"%1 record(s) could not be deleted.","%1 record(s) could not be deleted."
"Previous products","Previous products"
"Next products","Next products"
"Products","Products"
"Slides","Slides"
"moments","moments"
"a minute","a minute"
"%1 minutes","%1 minutes"
"an hour","an hour"
"%1 hours","%1 hours"
"a day","a day"
"%1 days","%1 days"
"%1 ago, %2 from %3 bought this","%1 ago, %2 from %3 bought this"
"%1 ago, %2 bought this","%1 ago, %2 bought this"
"%1 ago, someone from %2 bought this","%1 ago, someone from %2 bought this"
"%1 ago, someone bought this","%1 ago, someone bought this"
"-- Please Select --","-- Please Select --"
"Product Slider (scr1be)","Product Slider (scr1be)"
"An admin-managed product carousel, placed by identifier.","An admin-managed product carousel, placed by identifier."
