"POS Bridge","POS Bridge"
"POS Bridge: customer lookup","POS Bridge: customer lookup"
"POS Bridge: act as customer","POS Bridge: act as customer"
"Endpoints","Endpoints"
"Enable the POS bridge","Enable the POS bridge"
"Allow acting as a customer","Allow acting as a customer"
"Customer Lookup","Customer Lookup"
"Maximum matches returned","Maximum matches returned"
"The POS bridge is switched off.","The POS bridge is switched off."
"Customer impersonation is switched off.","Customer impersonation is switched off."
"Enter at least %1 characters to look up a customer.","Enter at least %1 characters to look up a customer."
"This account cannot be used right now.","This account cannot be used right now."
"The impersonation token could not be issued.","The impersonation token could not be issued."
