"Product Families","Product Families"
"Product Families Section","Product Families Section"
"General","General"
"Enabled","Enabled"
"Rebuild nightly","Rebuild nightly"
"Cron dry run","Cron dry run"
"Other colours","Other colours"
"Other sizes","Other sizes"
"Similar products","Similar products"
"Family attribute","Family attribute"
"Variant attribute","Variant attribute"
"Chips per product","Chips per product"
"One chip per variant value","One chip per variant value"
"Row heading","Row heading"
"-- Not configured --","-- Not configured --"
"-- None (order by product id) --","-- None (order by product id) --"
"Product attribute ""%1"" does not exist.","Product attribute ""%1"" does not exist."
"Link type %1 has no ""%2"" attribute. Run bin/magento setup:upgrade to install it.","Link type %1 has no ""%2"" attribute. Run bin/magento setup:upgrade to install it."
"Product link type ""%1"" already exists with id %2, but this module addresses it as %3. Remove the stale row or reinstall the module against a clean catalog_product_link_type table.","Product link type ""%1"" already exists with id %2, but this module addresses it as %3. Remove the stale row or reinstall the module against a clean catalog_product_link_type table."
"Product link type id %1 is reserved by this module but already used by ""%2"". Two extensions cannot share a link type id.","Product link type id %1 is reserved by this module but already used by ""%2"". Two extensions cannot share a link type id."
