"The requested document is not available.","The requested document is not available."
"The download link is not valid.","The download link is not valid."
"Signed document delivery needs an encryption key in app/etc/env.php.","Signed document delivery needs an encryption key in app/etc/env.php."
"The current customer isn't authorized.","The current customer isn't authorized."
"Specify the ""input"" value.","Specify the ""input"" value."
"Specify a supported ""document_type"".","Specify a supported ""document_type""."
"Specify the ""uid"" value.","Specify the ""uid"" value."
"""%1"" is not a document type this module knows about.","""%1"" is not a document type this module knows about."
"The renderer registered for ""%1"" does not implement DocumentRendererInterface.","The renderer registered for ""%1"" does not implement DocumentRendererInterface."
"No renderer is registered for ""%1"" documents.","No renderer is registered for ""%1"" documents."
"Order # ","Order # "
"Products","Products"
"SKU","SKU"
"Price","Price"
"Qty","Qty"
"Tax","Tax"
"Subtotal","Subtotal"
"Discount","Discount"
"Shipping & Handling","Shipping & Handling"
"Grand Total","Grand Total"
"Signed Document Delivery","Signed Document Delivery"
"Signed URLs","Signed URLs"
"Link lifetime (seconds)","Link lifetime (seconds)"
"Rendered PDF Cache","Rendered PDF Cache"
"Keep rendered files for (seconds)","Keep rendered files for (seconds)"
"Signed Document Delivery Section","Signed Document Delivery Section"
