"Store Toolkit: SEO","Store Toolkit: SEO"
"Canonical","Canonical"
"Query parameters kept in the canonical","Query parameters kept in the canonical"
"Hreflang","Hreflang"
"Primary store code for x-default","Primary store code for x-default"
"robots.txt","robots.txt"
"Publish a robots.txt file","Publish a robots.txt file"
"Content","Content"
"The robots.txt content is %1 bytes, which is over the %2 byte limit.","The robots.txt content is %1 bytes, which is over the %2 byte limit."
"The robots.txt content is not valid UTF-8.","The robots.txt content is not valid UTF-8."
"The robots.txt content contains control characters.","The robots.txt content contains control characters."
"Line %1 is not a ""Directive: value"" pair: ""%2"".","Line %1 is not a ""Directive: value"" pair: ""%2""."
"Line %1 declares a User-agent with no value.","Line %1 declares a User-agent with no value."
"Line %1 uses ""%2"" before any User-agent line, so it belongs to no group.","Line %1 uses ""%2"" before any User-agent line, so it belongs to no group."
"Line %1 has a path that starts with neither ""/"" nor ""*"": ""%2"".","Line %1 has a path that starts with neither ""/"" nor ""*"": ""%2""."
"Line %1 has a Sitemap that is not an absolute http(s) URL: ""%2"".","Line %1 has a Sitemap that is not an absolute http(s) URL: ""%2""."
"The robots.txt content was rejected: %1","The robots.txt content was rejected: %1"
"""%1"" is not a usable website code for a robots.txt file name.","""%1"" is not a usable website code for a robots.txt file name."
"Availability checker for ""%1"" must implement %2.","Availability checker for ""%1"" must implement %2."
